a,b,c
9.810908004279286221e-01,-1.048434639240799271e+00,2.242219600262231050e-01
1.324627213116789326e+00,-7.358799539535184620e-01,1.216705621510014018e-01
1.158927616788579362e+00,-6.593811652528615008e-01,1.436078437952218734e-01
1.155174877465717342e+00,-1.588920459708926397e-02,2.337330707572837230e-01
1.220941732981483785e+00,-4.363773198353550903e-02,1.764946846542728986e-01
1.356726404386816798e+00,-3.719450646819802975e-01,1.956338511992249951e-01
1.128241589444930026e+00,1.804416817050182864e-01,1.069872275408687151e-01
1.216384912225598969e+00,-4.534630796384345186e-01,2.261498152087287050e-01
1.286370183437451242e+00,-8.454770384549344930e-01,2.635845129465016479e-01
9.932673554059832099e-01,6.075496758674576725e-01,1.912730710170756077e-01
1.187113425902433406e+00,2.613640805059315730e-01,1.605378184256101570e-01
1.009469674259756866e+00,1.102489346341901433e+00,1.715008212391265219e-01
9.492081531776808134e-01,-5.643294204296593897e-01,1.787334620985762679e-01
1.410257222972452373e+00,1.983496410277104521e-02,2.647481336975437416e-01
1.612635976668359561e+00,1.358913780044312514e+00,2.725857657977911463e-01
1.152684154092292967e+00,-7.606142828469588668e-01,1.040510880161976959e-01
1.402741199075331346e+00,3.113494519963130869e-01,2.789012545085264860e-01
1.370065481926493023e+00,4.759415573660075172e-01,2.097160000566362925e-01
1.285320952914504211e+00,-5.637487694398380933e-01,2.997094442306333373e-01
1.556436379386318736e+00,1.220646397564185692e+00,2.875932831335504813e-01
7.174210882260212419e-01,2.125417003443015762e+00,2.939459823364845570e-01
1.525335837131531758e+00,-7.869692099897517279e-01,1.139483881294150874e-01
1.150066972856924385e+00,2.065935867017584471e+00,2.424369048018512329e-01
9.411305817286292896e-01,5.706265014546659797e-01,1.845724828625206482e-01
9.021113899030553940e-01,-1.311649022768136330e+00,1.110281889456992827e-01
1.317632873422554418e+00,-6.543572012037444097e-01,2.661743831259116289e-01
1.174725100708817083e+00,-4.603672959147445121e-01,2.035051375738375912e-01
1.184117588983252034e+00,-1.180548792228673038e+00,1.175678961323911170e-01
1.470910533188171554e+00,-1.320769666694876943e+00,2.518914786685267915e-01
8.950030401190800511e-01,-1.208299583273736710e-01,1.819636371762721749e-01
8.293879096100749138e-01,-6.282066764401365022e-01,2.303593713445853119e-01
7.761668487919728410e-01,-1.064930979373583941e-01,1.273374821673307900e-01
1.077076402919495468e+00,7.172662662374129638e-02,2.126408295163686180e-01
1.004876551450279543e+00,8.219458974010992458e-01,2.944663014298937731e-01
1.453595756051172749e+00,7.112792859313024074e-01,1.888118741815206503e-01
1.341233805056102124e+00,2.758913454267682419e-01,2.977408210832997448e-01
1.436744285041429370e+00,1.998286205164643059e+00,2.172410570904684257e-01
1.516132063957764675e+00,6.079984415726484848e-01,1.958621044867924488e-01
1.000383240789458172e+00,5.200124127251989220e-02,2.246431888758280981e-01
1.485151901263454643e+00,-3.723724626815149152e-01,2.831274480785196945e-01
1.030026351841725196e+00,1.933709110996179481e+00,2.685109976149129829e-01
1.345123033536241630e+00,1.055037298111448640e+00,1.576087115031532260e-01
1.354569004049500203e+00,3.155759972280431924e+00,2.583132076371555397e-01
1.378247692527547086e+00,8.289379536817679250e-01,2.746632435217757906e-01
1.510971860328178540e+00,-9.523166811448762203e-01,1.752932215806460303e-01
9.782385436113080202e-01,1.441184878655612955e+00,1.135552181182560294e-01
1.232543834917767533e+00,-4.022840559014004280e-01,1.830821915663846111e-01
9.773566317940463044e-01,-1.060192990449120742e+00,1.467253754643786379e-01
1.598079602133599231e+00,-9.191019580231574171e-01,2.816127699960145336e-01
1.438470788095975283e+00,1.849711139187613984e+00,2.236932644091914058e-01
1.369540501812185784e+00,4.817814546389337371e-01,2.992958319212930540e-01
1.155069051108888356e+00,1.440718029998740768e+00,1.036550012737291748e-01
1.154246174799924418e+00,-1.523997172698128955e+00,2.775570112694539793e-01
1.481649221526438964e+00,-1.626976522184415963e-01,1.552403630536813295e-01
1.329005766912003228e+00,-1.121507367115609721e+00,2.445375955018986025e-01
1.308304209005496599e+00,9.508435522363509751e-01,1.110393330713633636e-01
1.242822541831099858e+00,2.561465848649341903e-01,1.087951829822961375e-01
9.275364804031078769e-01,8.819059068496204468e-01,1.627179239892847240e-01
1.150792428250337451e+00,1.019424678525014949e+00,1.935207063866062338e-01
1.478384191766597411e+00,5.858695293087163858e-01,1.343376026855607197e-01
1.628558911062832681e+00,1.325326184565284615e+00,1.160410044991321971e-01
1.337004544817307128e+00,-6.566702343045411894e-01,1.495887972888225170e-01
1.558515714523228679e+00,3.014297810902574759e-01,1.837633556716960492e-01
9.050614639870426803e-01,1.149041541732234606e+00,2.560799453768800582e-01
1.084463185059316936e+00,-2.741326806983416242e-01,1.535750846379697332e-01
1.618493190705610152e+00,1.210318011497943047e+00,1.162834747089211140e-01
1.205218444133234090e+00,7.662856417108947216e-02,2.371431703127473145e-01
1.556292356698280033e+00,-3.956746041639100375e-01,2.330834137004965667e-01
1.659360524003388182e+00,1.327805256665541167e+00,2.972067267910195043e-01
1.229084182329369446e+00,6.747876140851307714e-01,1.993058216207873046e-01
1.152421884915192374e+00,1.605864511571423181e+00,2.778234070834063596e-01
1.094193933328275081e+00,1.508771175150913635e+00,2.167182990488585870e-01
1.645967673085389826e+00,-1.752842817049168556e+00,2.418890195287597689e-01
1.191360688375511234e+00,8.615358787696968459e-03,1.795675927100184033e-01
1.724047825034623838e+00,2.817492267884999860e-02,1.081952006366254659e-01
1.514687755956931614e+00,9.025745533032552004e-01,1.685929032883072554e-01
1.580522371140372861e+00,8.861114957656232027e-01,2.138155735512379252e-01
9.839301672492792861e-01,-6.511602659081646705e-01,2.090997649603659470e-01
1.013686876190980080e+00,5.897296046796389468e-02,2.014740351655291417e-01
1.034585831662682143e+00,-1.082550030907576621e+00,1.429712021781647246e-01
1.273262868950354898e+00,-5.559385467303638029e-01,1.697804144972693829e-01
1.286658349157420167e+00,1.421608602114597497e+00,2.779421472862766973e-01
1.086713037700377305e+00,4.424857982907037801e-01,2.524091198563681027e-01
9.133057183982510319e-01,-7.675650358770599313e-01,1.095210401845135018e-01
8.540465025710939351e-01,-1.270597009553790624e+00,2.765124202550932608e-01
1.341521748639757039e+00,2.014812689630061548e+00,2.256647419842895963e-01
1.046755699004562556e+00,3.581199763780692491e-01,2.622587839878885996e-01
1.164952618265483020e+00,1.463912235910123316e+00,1.065396898887475824e-01
9.445541278194151680e-01,-1.614074396763049313e+00,2.864100269966363133e-01
1.513238465662334331e+00,1.308572378191133811e+00,2.084045495046488450e-01
1.077384833022128063e+00,6.344735145059492432e-01,1.350697117726402385e-01
1.448579425687111844e+00,-1.083909831116363520e+00,1.030680625276789580e-01
1.377318620075906885e+00,-6.458921767760710253e-01,1.378158483922783117e-01
9.805438773234687044e-01,3.372701822283408757e-01,2.993197232481386583e-01
1.606108991930944585e+00,-3.208280094315985598e-01,1.160470223423783892e-01
1.276304710428706413e+00,-6.892901351107556529e-01,2.617746825420857459e-01
1.129687663735966963e+00,-1.413257306549983827e+00,1.067776212359264898e-01
1.505778886688259544e+00,-2.336776005738076534e-01,1.709168790474614730e-01
1.184912049287230706e+00,1.183077710067351962e+00,2.216230291602639124e-01
9.011813483431470040e-01,6.073770816169776765e-01,1.961092513615615429e-01
1.683456654885581827e+00,8.140561726354048622e-01,2.298788779507745794e-01
1.256499098145797522e+00,-2.132774209634487883e-01,2.527801030811555605e-01
1.326301758039991396e+00,1.630735860131917958e+00,1.185088158874091219e-01
1.138636339543754206e+00,-1.184434322228517411e+00,2.169481093039289099e-01
1.211827078161994642e+00,-2.982376445539660637e-01,2.535142514414278625e-01
1.022295798424040836e+00,-1.264280553582064703e+00,2.631992516196496878e-01
1.137439115153146885e+00,-8.370258969808181959e-01,2.169323058590952868e-01
7.700439123360923732e-01,1.376441244010944143e+00,1.026031985054034756e-01
1.082456009559156440e+00,-1.155856975000959963e+00,1.990161336438256712e-01
1.523380159454415850e+00,-5.200383800626001696e-01,1.540381041728001166e-01
1.431667291578548218e+00,-2.959215521467510435e+00,2.697032943400710092e-01
1.142499828167314657e+00,-1.874617724524452411e+00,2.480363975818513367e-01
1.328656377565143432e+00,1.331424426747152667e+00,2.280384976728927759e-01
1.453202473862432509e+00,-1.736628468746556075e+00,1.464199618175425210e-01
1.154277290765296948e+00,8.065183058179010711e-01,2.306462617563192763e-01
1.462515987389327421e+00,7.966707038042830646e-01,2.055534831250076799e-01
1.073470849445656849e+00,-9.573948339134731311e-01,1.388253371075260645e-01
1.450051806531309051e+00,-6.953483349429633309e-01,2.664027923945675447e-01
1.437731857228867538e+00,-1.392294944785565924e+00,1.184823183258561369e-01
9.619656195260727349e-01,-1.447587640010575383e+00,1.792908510807980360e-01
1.228798620186857926e+00,8.620102765324053062e-02,2.285111728510602624e-01
8.864336318782011226e-01,1.399788050439595699e-01,2.110452293778591337e-01
1.116912440464285838e+00,-8.317382445416456882e-01,2.488815753735165448e-01
1.049475995470710687e+00,7.277655960595609264e-01,2.481594075748597972e-01
1.331798221954068273e+00,-5.170436212155050670e-01,1.843208454205712832e-01
9.023205729781847984e-01,1.713339360454695592e+00,1.860191591155986868e-01
1.111122844486803984e+00,8.274124451131579239e-01,2.933330103718226334e-01
1.220410651269724145e+00,-1.475931197443048237e+00,1.254242094469900926e-01
6.498928679452470325e-01,-1.519299370619285661e+00,1.484540258105327415e-01
8.159849669004943795e-01,-1.548517680399698504e+00,2.909050129881596281e-01
1.400423752077957218e+00,3.963986550079232063e-01,2.412876542251826406e-01
1.375283951108677405e+00,7.751664838275434954e-01,1.342562969072078338e-01
1.273671199059888792e+00,1.563305934886401127e+00,2.984975498208368716e-01
1.557652059743460882e+00,-8.742621046819326613e-01,2.415721017493851763e-01
1.170008454139079834e+00,4.672937387323724545e-01,1.960326428907765428e-01
1.066248626966747937e+00,-1.438063959380672385e-01,2.130292157070521331e-01
1.337770291529775557e+00,1.523005492875339373e+00,2.443919931793282763e-01
1.254546396964504096e+00,3.104393044116672273e-01,2.662012009918366395e-01
1.510659421990175666e+00,-6.938971423846539144e-02,1.235020814964574720e-01
1.105603291441500602e+00,1.262800750352385482e+00,2.876175314610684430e-01
1.404009507366580811e+00,-3.037534707511150844e-01,1.365548751724731669e-01
1.297977312688280316e+00,-2.548144463722198383e-01,2.704277233053931639e-01
7.709839785345533603e-01,1.104752769049724304e+00,1.320106428198837278e-01
1.014116674281794639e+00,-9.945963229495548008e-01,1.007929362855148059e-01
9.251123479642655578e-01,-7.352807675153720801e-01,1.510293531490050634e-01
1.087497073139370496e+00,-2.728783881461181338e+00,2.390418340018503340e-01
1.377173070305634184e+00,2.243770854045624707e-01,2.975141222771536809e-01
1.375048112610425255e+00,-1.008599638813665544e+00,2.282009072792813564e-01
1.444678955732473069e+00,1.182218115422968729e+00,1.473634992499039953e-01
9.767678152987957496e-01,-6.700686401810164172e-01,2.801064678929333085e-01
9.076316976009954907e-01,4.399612061929989992e-01,1.056497533264826871e-01
1.130174719563207697e+00,8.754410216571594239e-01,1.693681503365348506e-01
7.859926832674435371e-01,1.141862944122761903e+00,1.996777588621987953e-01
1.053260641661935448e+00,-8.864398050310401400e-02,1.275211450534231294e-01
1.201098474966809437e+00,-2.651026217651525699e-02,1.483431626306892515e-01
1.214600396143605154e+00,1.273713970056698619e+00,2.546675731605552162e-01
1.236281035522296179e+00,-5.465520263484219265e-01,2.010847114417322612e-01
1.048511451661765959e+00,2.204454043022565202e+00,2.090917107206335113e-01
1.355076029259267623e+00,1.380995173690328648e-01,1.261742896032601313e-01
1.368732590142974326e+00,4.798137817709834385e-01,1.054632750562747578e-01
1.453380421168352754e+00,-6.777829077158628035e-01,2.756010181617906118e-01
1.634227329724932343e+00,-9.533639371172901722e-01,1.569397644312416629e-01
9.357017469446986535e-01,-1.304456980749489348e-01,1.173896806666860776e-01
8.310487136073760883e-01,8.422947998167988892e-01,2.967627615085776660e-01
7.827333596156372808e-01,-2.144985981681868825e+00,1.404558443691445446e-01
1.535335698184155273e+00,9.961255586924995242e-01,2.875133266751655481e-01
9.005443918283787541e-01,-2.223085415287381073e-01,2.813082871589936973e-01
1.278666575977932318e+00,-2.534629150284443133e-01,2.862345149622868012e-01
1.621689231884002824e+00,6.676493943419870014e-01,1.431436605563075337e-01
1.318743687032566170e+00,5.608263703352962537e-01,1.663233157079109237e-01
1.062197942125787442e+00,-2.589605247793727472e+00,2.357191181426387117e-01
1.419718538472906078e+00,-6.724965454514184593e-01,1.113986085617467703e-01
1.045714413762317996e+00,-4.831798517568249296e-01,1.068967899447048897e-01
8.855270954886582668e-01,1.085124852162246079e+00,1.340807354405808560e-01
1.600354326604335853e+00,1.762152337541763147e+00,2.270642244189898240e-01
1.290718042317355652e+00,-1.717807828827672689e-01,1.405135544609731335e-01
1.253130726858794564e+00,-7.781360347859257731e-02,2.290883561146976333e-01
1.213756905237299621e+00,5.602723521107673132e-01,2.520969491387275441e-01
6.526261186429852534e-01,3.099435468421802078e-02,1.009174399627448121e-01
1.619542986755303504e+00,6.440357616445610001e-01,1.205654842604608618e-01
1.788891272040891600e+00,-4.125549906233821895e-01,2.424145412218175200e-01
1.348188109157753889e+00,-9.632931309971319855e-01,2.658972714000794046e-01
1.108215525778810884e+00,1.174034209031718623e+00,2.242612913959391163e-01
1.240983221503432432e+00,-1.344017991635060971e+00,1.712615859666262730e-01
1.081265101528667616e+00,-1.740676379721671774e+00,1.377082830506991540e-01
1.516847681602402798e+00,4.658208187614562013e-01,2.053345424686503218e-01
1.562976962165643968e+00,-4.905552664154036457e-02,2.509057259748396218e-01
1.393328796883877896e+00,-2.098689978998928840e-01,1.552756119617778319e-01
1.283066755968842898e+00,-1.667558706973626625e+00,1.079401832919671955e-01
1.019379354678356941e+00,7.103408499920522701e-01,1.637565994206315878e-01
1.435009723660012115e+00,5.870121439772963967e-01,1.134740751363323280e-01
8.981397559731855162e-01,1.721713813193514464e-01,2.703005692048988107e-01
1.406361907441641801e+00,1.122327956985798236e+00,1.672088140700214998e-01
1.180718407035599826e+00,2.008223131373457204e-01,1.108630612745657579e-01
1.588473595195415644e+00,-4.485879187071703522e-01,1.697287092903184136e-01
1.315377357437248262e+00,1.481714303262428034e-01,1.643407984638914077e-01
8.920711074680904851e-01,1.177911607721536802e+00,1.674968067533924021e-01
1.235405454972119621e+00,-7.549115760860950486e-01,2.099491270633558615e-01
1.142657977089311494e+00,-1.072313691218239051e-01,1.666131154801852865e-01
1.479632536231378692e+00,8.547444328722416662e-01,1.297623388319768256e-01
7.881632894139599665e-01,1.357579552323223915e+00,1.872968730637560864e-01
1.769008649965019941e+00,1.665457602066286569e+00,1.743109871526180854e-01
1.407212143487681422e+00,-1.138770890187548845e+00,1.013774082832842177e-01
1.068165232190677605e+00,-4.392169509077279987e-01,2.861201601181004861e-01
9.389241670022300257e-01,-5.472752839567389671e-01,1.265763782684148075e-01
1.095210290033830081e+00,-7.392587226043160209e-01,1.753026597916960971e-01
9.226367767795606856e-01,7.475230798721504977e-01,1.970620995559381472e-01
1.040060807021472966e+00,1.832750075240391796e+00,1.241526457778238390e-01
1.117142509816138496e+00,1.021059534093628596e+00,2.250647213744021713e-01
1.203448254583435739e+00,-1.485195714103358267e+00,2.652689714220201611e-01
1.008205096903920905e+00,-7.834519110552637944e-01,1.608245523089985862e-01
1.515427903460882408e+00,2.544004506694685364e-01,2.496228758968596639e-01
1.169474696523526092e+00,8.399749173892170351e-01,1.936972321131335273e-01
1.119524973289473646e+00,-2.671041682261187655e-01,1.745942270333797341e-01
7.115132028574511214e-01,-2.337852010481066944e+00,2.061030154861659136e-01
1.180246397228189359e+00,5.980596854261079898e-01,2.496304270384283874e-01
1.871292688739449428e+00,-4.007158427283469271e-01,2.280975518402465763e-01
1.474716998748520691e+00,6.948072587791946919e-01,1.974601618801782033e-01
1.562400834833013397e+00,-8.735501784104503509e-01,2.827677939692383458e-01
9.944331906195980064e-01,9.785055375826834378e-01,2.989184876550405323e-01
1.595102687532983232e+00,-1.099596184168317725e+00,1.090728942501640042e-01
8.513954761569035856e-01,-4.449309100715722054e-01,2.627572872000241699e-01
9.793725279412678342e-01,4.711992370666658880e-01,2.815332151916946080e-01
1.276244597415207460e+00,1.450067374767118576e-03,1.108742169378812009e-01
1.086550442758798196e+00,1.059869455714588932e-01,2.522508557477784463e-01
1.024900021832966468e+00,-2.993832746077355056e-01,2.354688098142534713e-01
6.800292950515798296e-01,4.747964766718487106e-01,2.494011861710049571e-01
1.174645043481115536e+00,-1.178675574934457959e+00,2.957334178984396544e-01
1.192216423604990583e+00,5.985947127321409322e-01,1.678380122886394266e-01
1.214098136857667098e+00,2.125758284811458232e+00,1.821901231417500377e-01
1.624484336341886603e+00,-2.778202581178975117e-01,2.704382318756384795e-01
1.394410968870573697e+00,-2.486346391949955381e-01,1.496497202411840033e-01
1.241259142838667895e+00,1.299555802330284893e+00,2.134743313895586803e-01
5.717083351872560559e-01,8.734132021823504122e-01,1.320005516343070451e-01
1.661143838831079522e+00,-2.659192654480224127e-01,2.263004139177647311e-01
9.663977144736983771e-01,1.124765776138808793e+00,1.737193415365601568e-01
1.340170478948654598e+00,4.333101693965575874e-01,2.045393974744122434e-01
1.353234705891430689e+00,1.518842129793524398e+00,2.870769193798009544e-01
1.551185003543403607e+00,-1.776117384304134905e+00,1.361207875200928230e-01
8.591148401951490543e-01,-1.529892008615683752e+00,2.707870401795008375e-01
1.510405457672318041e+00,-1.382350366852105106e+00,2.114030810988475895e-01
1.321427558124972368e+00,-4.254992770519175904e-01,2.128921693853049746e-01
1.672072648227102887e+00,3.641710338190080609e-01,1.339261228659512637e-01
1.449011036477791947e+00,-5.328969252524774491e-01,2.219265255111349255e-01
1.078021065658282485e+00,-2.169492442025992562e-01,2.261324978326374746e-01
1.333113807956139540e+00,-4.148435423185733439e-01,2.412342584720780225e-01
1.026980859517484079e+00,-4.891659819724729075e-01,2.781815742928520074e-01
1.149011015277067171e+00,9.394933607788278351e-01,2.982653152623758186e-01
1.268988593695167921e+00,-7.486548057083079744e-02,2.599309957621409595e-01
1.251050638195023934e+00,-4.823047552619348366e-01,1.045366889449166337e-01
1.297490530524154417e+00,-1.098823202854885439e+00,2.879201262041488629e-01
1.382063041620908539e+00,2.066476536372017503e-01,2.507454709864907483e-01
1.463000569753596602e+00,1.040464457611169680e+00,1.156406697915850768e-01
1.670302068586192235e+00,-7.515536370463041793e-01,2.117274691077707383e-01
1.417651463716900651e+00,1.710460918789225293e-01,2.875557411934242524e-01
1.155038199734184090e+00,-1.475527907493975333e+00,2.563231211212970151e-01
1.070418443555272381e+00,-1.813325596660178229e+00,1.305813147925033169e-01
1.355488285296245987e+00,2.038902564083144409e+00,2.519558904608552585e-01
1.282742463127787058e+00,1.207854986238494216e-01,2.579756877725404851e-01
1.034673341488867360e+00,1.464845078850231852e+00,1.892781319158730047e-01
1.104801077156398081e+00,-1.041668228434807331e+00,1.709276914877516929e-01
1.060246399017612307e+00,-4.196765970393372958e-01,1.297919985278508104e-01
1.007260669416011334e+00,1.547665705636133815e+00,2.004389542312243200e-01
6.942491051781187750e-01,5.452746094007091537e-01,2.866233275759305088e-01
1.224259326952488403e+00,1.842055760941909037e+00,1.097234314891641360e-01
1.228691043630179225e+00,9.222233605267503576e-01,1.273009586972764506e-01
1.074434498191472409e+00,-1.073438929345610804e+00,2.796212192246160799e-01
9.777570391442200748e-01,2.706144683638541437e+00,1.918505380533554461e-01
1.457087567808173389e+00,9.939325901708180311e-01,2.661221767517186754e-01
9.614447804113435136e-01,-3.326251802016642611e-01,2.722607647999888969e-01
1.352159710421210637e+00,1.043423814420311596e-01,2.534064644815349210e-01
1.264138482340011471e+00,-3.559253587556043263e-01,1.742554850474885564e-01
1.047523384007733815e+00,1.627802754358819437e-01,2.199480249928021380e-01
1.295412531305560444e+00,-1.152397859656048712e-01,1.796783345710198099e-01
1.014016824462255384e+00,1.505975423870356655e+00,1.067088594036140203e-01
1.236875795793315858e+00,8.940064539582943670e-01,2.217793811881489108e-01
1.050674881660486060e+00,-1.057249170985864739e-01,1.677049916671541907e-01
7.438721566985193601e-01,2.696803113601720536e+00,2.427528310813266421e-01
1.298184558674393418e+00,-3.165204806568141516e-01,1.913623751138835150e-01
1.331658384158381558e+00,-1.247169277081570327e+00,1.582260047349560439e-01
1.330977069060299778e+00,7.497454100960958545e-01,2.209823526152080719e-01
1.009421214868005956e+00,-6.446190060979208880e-01,2.360603086938254380e-01
1.013650123678167425e+00,-8.395996324669594557e-01,1.607136430718780484e-01
1.277693433881908369e+00,1.949177601767209334e+00,1.085379214761992978e-01
9.028436634768479685e-01,2.788328808453494068e-01,2.252810813295385850e-01
1.091758537449141198e+00,-1.048591298272272043e+00,1.908822377491012912e-01
1.268004015682722807e+00,-2.966739439848292692e-01,1.033817938591904267e-01
1.474609322849292026e+00,-3.548763462029897453e-01,1.915158194480139353e-01
1.305415667968078841e+00,-2.187611570052275939e-02,1.965702652225410907e-01
8.260636927388478323e-01,9.912376286072190762e-03,2.993167438860895868e-01
1.369926867917577118e+00,-1.072806294268100702e+00,1.669606702393886255e-01
1.518406075850933457e+00,-1.962508278228476399e-01,2.242979675018283992e-01
1.044475395159087716e+00,1.861170193722724853e-01,1.407925041671638233e-01
1.463533349911799730e+00,4.818407663231779603e-01,1.093104490651402305e-01
1.598725341086801421e+00,2.849009062189211128e-01,1.285474718115838244e-01
1.150373362431909685e+00,6.816619695198024020e-01,2.089963290632116943e-01
9.744216325703100035e-01,4.703960267721345456e-01,1.576841875454875197e-01
1.211021497932263546e+00,1.898772525903553443e-01,1.695859881180540873e-01
1.290012230123136039e+00,1.668695730011563461e+00,1.532851209366994649e-01
1.308850899948516888e+00,-2.153145638051581212e+00,2.318865551883242115e-01
1.218895789178525257e+00,-7.261127568997375326e-01,1.370556778341616988e-01
9.918988367323456901e-01,4.146401330403175489e-01,1.694014390784738533e-01
1.292627677859614410e+00,-5.194217409564449994e-01,1.133241066989040813e-01
1.494245063092489056e+00,5.505353002622003222e-01,1.649658087460626199e-01
