a,b,c
1.369540501812185784e+00,4.817814546389337371e-01,0.000000000000000000e+00
1.155069051108888356e+00,1.440718029998740768e+00,0.000000000000000000e+00
1.154246174799924418e+00,-1.523997172698128955e+00,0.000000000000000000e+00
1.481649221526438964e+00,-1.626976522184415963e-01,0.000000000000000000e+00
1.329005766912003228e+00,-1.121507367115609721e+00,0.000000000000000000e+00
1.308304209005496599e+00,9.508435522363509751e-01,0.000000000000000000e+00
1.242822541831099858e+00,2.561465848649341903e-01,0.000000000000000000e+00
9.275364804031078769e-01,8.819059068496204468e-01,0.000000000000000000e+00
1.150792428250337451e+00,1.019424678525014949e+00,0.000000000000000000e+00
1.478384191766597411e+00,5.858695293087163858e-01,0.000000000000000000e+00
1.628558911062832681e+00,1.325326184565284615e+00,0.000000000000000000e+00
1.337004544817307128e+00,-6.566702343045411894e-01,0.000000000000000000e+00
1.558515714523228679e+00,3.014297810902574759e-01,0.000000000000000000e+00
9.050614639870426803e-01,1.149041541732234606e+00,0.000000000000000000e+00
1.084463185059316936e+00,-2.741326806983416242e-01,0.000000000000000000e+00
1.618493190705610152e+00,1.210318011497943047e+00,0.000000000000000000e+00
1.205218444133234090e+00,7.662856417108947216e-02,0.000000000000000000e+00
1.556292356698280033e+00,-3.956746041639100375e-01,0.000000000000000000e+00
1.659360524003388182e+00,1.327805256665541167e+00,0.000000000000000000e+00
1.229084182329369446e+00,6.747876140851307714e-01,0.000000000000000000e+00
1.152421884915192374e+00,1.605864511571423181e+00,0.000000000000000000e+00
1.094193933328275081e+00,1.508771175150913635e+00,0.000000000000000000e+00
1.645967673085389826e+00,-1.752842817049168556e+00,0.000000000000000000e+00
1.191360688375511234e+00,8.615358787696968459e-03,0.000000000000000000e+00
1.724047825034623838e+00,2.817492267884999860e-02,0.000000000000000000e+00
1.514687755956931614e+00,9.025745533032552004e-01,0.000000000000000000e+00
1.580522371140372861e+00,8.861114957656232027e-01,0.000000000000000000e+00
9.839301672492792861e-01,-6.511602659081646705e-01,0.000000000000000000e+00
1.013686876190980080e+00,5.897296046796389468e-02,0.000000000000000000e+00
1.034585831662682143e+00,-1.082550030907576621e+00,0.000000000000000000e+00
1.273262868950354898e+00,-5.559385467303638029e-01,0.000000000000000000e+00
1.286658349157420167e+00,1.421608602114597497e+00,0.000000000000000000e+00
1.086713037700377305e+00,4.424857982907037801e-01,0.000000000000000000e+00
9.133057183982510319e-01,-7.675650358770599313e-01,0.000000000000000000e+00
8.540465025710939351e-01,-1.270597009553790624e+00,0.000000000000000000e+00
1.341521748639757039e+00,2.014812689630061548e+00,0.000000000000000000e+00
1.046755699004562556e+00,3.581199763780692491e-01,0.000000000000000000e+00
1.164952618265483020e+00,1.463912235910123316e+00,0.000000000000000000e+00
9.445541278194151680e-01,-1.614074396763049313e+00,0.000000000000000000e+00
1.513238465662334331e+00,1.308572378191133811e+00,0.000000000000000000e+00
1.077384833022128063e+00,6.344735145059492432e-01,0.000000000000000000e+00
1.448579425687111844e+00,-1.083909831116363520e+00,0.000000000000000000e+00
1.377318620075906885e+00,-6.458921767760710253e-01,0.000000000000000000e+00
9.805438773234687044e-01,3.372701822283408757e-01,0.000000000000000000e+00
1.606108991930944585e+00,-3.208280094315985598e-01,0.000000000000000000e+00
1.276304710428706413e+00,-6.892901351107556529e-01,0.000000000000000000e+00
1.129687663735966963e+00,-1.413257306549983827e+00,0.000000000000000000e+00
1.505778886688259544e+00,-2.336776005738076534e-01,0.000000000000000000e+00
1.184912049287230706e+00,1.183077710067351962e+00,0.000000000000000000e+00
9.011813483431470040e-01,6.073770816169776765e-01,0.000000000000000000e+00
1.683456654885581827e+00,8.140561726354048622e-01,0.000000000000000000e+00
1.256499098145797522e+00,-2.132774209634487883e-01,0.000000000000000000e+00
1.326301758039991396e+00,1.630735860131917958e+00,0.000000000000000000e+00
1.138636339543754206e+00,-1.184434322228517411e+00,0.000000000000000000e+00
1.211827078161994642e+00,-2.982376445539660637e-01,0.000000000000000000e+00
1.022295798424040836e+00,-1.264280553582064703e+00,0.000000000000000000e+00
1.137439115153146885e+00,-8.370258969808181959e-01,0.000000000000000000e+00
7.700439123360923732e-01,1.376441244010944143e+00,0.000000000000000000e+00
1.082456009559156440e+00,-1.155856975000959963e+00,0.000000000000000000e+00
1.523380159454415850e+00,-5.200383800626001696e-01,0.000000000000000000e+00
1.431667291578548218e+00,-2.959215521467510435e+00,0.000000000000000000e+00
1.142499828167314657e+00,-1.874617724524452411e+00,0.000000000000000000e+00
1.328656377565143432e+00,1.331424426747152667e+00,0.000000000000000000e+00
1.453202473862432509e+00,-1.736628468746556075e+00,0.000000000000000000e+00
1.154277290765296948e+00,8.065183058179010711e-01,0.000000000000000000e+00
1.462515987389327421e+00,7.966707038042830646e-01,0.000000000000000000e+00
1.073470849445656849e+00,-9.573948339134731311e-01,0.000000000000000000e+00
1.450051806531309051e+00,-6.953483349429633309e-01,0.000000000000000000e+00
1.437731857228867538e+00,-1.392294944785565924e+00,0.000000000000000000e+00
9.619656195260727349e-01,-1.447587640010575383e+00,0.000000000000000000e+00
1.228798620186857926e+00,8.620102765324053062e-02,0.000000000000000000e+00
8.864336318782011226e-01,1.399788050439595699e-01,0.000000000000000000e+00
1.116912440464285838e+00,-8.317382445416456882e-01,0.000000000000000000e+00
1.049475995470710687e+00,7.277655960595609264e-01,0.000000000000000000e+00
1.331798221954068273e+00,-5.170436212155050670e-01,0.000000000000000000e+00
9.023205729781847984e-01,1.713339360454695592e+00,0.000000000000000000e+00
1.111122844486803984e+00,8.274124451131579239e-01,0.000000000000000000e+00
1.220410651269724145e+00,-1.475931197443048237e+00,0.000000000000000000e+00
6.498928679452470325e-01,-1.519299370619285661e+00,0.000000000000000000e+00
8.159849669004943795e-01,-1.548517680399698504e+00,0.000000000000000000e+00
1.400423752077957218e+00,3.963986550079232063e-01,0.000000000000000000e+00
1.375283951108677405e+00,7.751664838275434954e-01,0.000000000000000000e+00
1.273671199059888792e+00,1.563305934886401127e+00,0.000000000000000000e+00
1.557652059743460882e+00,-8.742621046819326613e-01,0.000000000000000000e+00
1.170008454139079834e+00,4.672937387323724545e-01,0.000000000000000000e+00
1.066248626966747937e+00,-1.438063959380672385e-01,0.000000000000000000e+00
1.337770291529775557e+00,1.523005492875339373e+00,0.000000000000000000e+00
1.254546396964504096e+00,3.104393044116672273e-01,0.000000000000000000e+00
1.510659421990175666e+00,-6.938971423846539144e-02,0.000000000000000000e+00
1.105603291441500602e+00,1.262800750352385482e+00,0.000000000000000000e+00
1.404009507366580811e+00,-3.037534707511150844e-01,0.000000000000000000e+00
1.297977312688280316e+00,-2.548144463722198383e-01,0.000000000000000000e+00
7.709839785345533603e-01,1.104752769049724304e+00,0.000000000000000000e+00
1.014116674281794639e+00,-9.945963229495548008e-01,0.000000000000000000e+00
9.251123479642655578e-01,-7.352807675153720801e-01,0.000000000000000000e+00
1.087497073139370496e+00,-2.728783881461181338e+00,0.000000000000000000e+00
1.377173070305634184e+00,2.243770854045624707e-01,0.000000000000000000e+00
1.375048112610425255e+00,-1.008599638813665544e+00,0.000000000000000000e+00
1.444678955732473069e+00,1.182218115422968729e+00,0.000000000000000000e+00
9.767678152987957496e-01,-6.700686401810164172e-01,0.000000000000000000e+00
9.076316976009954907e-01,4.399612061929989992e-01,0.000000000000000000e+00
1.130174719563207697e+00,8.754410216571594239e-01,0.000000000000000000e+00
7.859926832674435371e-01,1.141862944122761903e+00,0.000000000000000000e+00
1.053260641661935448e+00,-8.864398050310401400e-02,0.000000000000000000e+00
1.201098474966809437e+00,-2.651026217651525699e-02,0.000000000000000000e+00
1.214600396143605154e+00,1.273713970056698619e+00,0.000000000000000000e+00
1.236281035522296179e+00,-5.465520263484219265e-01,0.000000000000000000e+00
1.048511451661765959e+00,2.204454043022565202e+00,0.000000000000000000e+00
1.355076029259267623e+00,1.380995173690328648e-01,0.000000000000000000e+00
1.368732590142974326e+00,4.798137817709834385e-01,0.000000000000000000e+00
1.453380421168352754e+00,-6.777829077158628035e-01,0.000000000000000000e+00
1.634227329724932343e+00,-9.533639371172901722e-01,0.000000000000000000e+00
9.357017469446986535e-01,-1.304456980749489348e-01,0.000000000000000000e+00
8.310487136073760883e-01,8.422947998167988892e-01,0.000000000000000000e+00
7.827333596156372808e-01,-2.144985981681868825e+00,0.000000000000000000e+00
1.535335698184155273e+00,9.961255586924995242e-01,0.000000000000000000e+00
9.005443918283787541e-01,-2.223085415287381073e-01,0.000000000000000000e+00
1.278666575977932318e+00,-2.534629150284443133e-01,0.000000000000000000e+00
1.621689231884002824e+00,6.676493943419870014e-01,0.000000000000000000e+00
1.318743687032566170e+00,5.608263703352962537e-01,0.000000000000000000e+00
1.062197942125787442e+00,-2.589605247793727472e+00,0.000000000000000000e+00
1.419718538472906078e+00,-6.724965454514184593e-01,0.000000000000000000e+00
1.045714413762317996e+00,-4.831798517568249296e-01,0.000000000000000000e+00
8.855270954886582668e-01,1.085124852162246079e+00,0.000000000000000000e+00
1.600354326604335853e+00,1.762152337541763147e+00,0.000000000000000000e+00
1.290718042317355652e+00,-1.717807828827672689e-01,0.000000000000000000e+00
1.253130726858794564e+00,-7.781360347859257731e-02,0.000000000000000000e+00
1.213756905237299621e+00,5.602723521107673132e-01,0.000000000000000000e+00
6.526261186429852534e-01,3.099435468421802078e-02,0.000000000000000000e+00
1.619542986755303504e+00,6.440357616445610001e-01,0.000000000000000000e+00
1.788891272040891600e+00,-4.125549906233821895e-01,0.000000000000000000e+00
1.348188109157753889e+00,-9.632931309971319855e-01,0.000000000000000000e+00
1.108215525778810884e+00,1.174034209031718623e+00,0.000000000000000000e+00
1.240983221503432432e+00,-1.344017991635060971e+00,0.000000000000000000e+00
1.081265101528667616e+00,-1.740676379721671774e+00,0.000000000000000000e+00
1.516847681602402798e+00,4.658208187614562013e-01,0.000000000000000000e+00
1.562976962165643968e+00,-4.905552664154036457e-02,0.000000000000000000e+00
1.393328796883877896e+00,-2.098689978998928840e-01,0.000000000000000000e+00
1.283066755968842898e+00,-1.667558706973626625e+00,0.000000000000000000e+00
1.019379354678356941e+00,7.103408499920522701e-01,0.000000000000000000e+00
1.435009723660012115e+00,5.870121439772963967e-01,0.000000000000000000e+00
8.981397559731855162e-01,1.721713813193514464e-01,0.000000000000000000e+00
1.406361907441641801e+00,1.122327956985798236e+00,0.000000000000000000e+00
1.180718407035599826e+00,2.008223131373457204e-01,0.000000000000000000e+00
1.588473595195415644e+00,-4.485879187071703522e-01,0.000000000000000000e+00
1.315377357437248262e+00,1.481714303262428034e-01,0.000000000000000000e+00
8.920711074680904851e-01,1.177911607721536802e+00,0.000000000000000000e+00
1.235405454972119621e+00,-7.549115760860950486e-01,0.000000000000000000e+00
1.142657977089311494e+00,-1.072313691218239051e-01,0.000000000000000000e+00
1.479632536231378692e+00,8.547444328722416662e-01,0.000000000000000000e+00
7.881632894139599665e-01,1.357579552323223915e+00,0.000000000000000000e+00
1.769008649965019941e+00,1.665457602066286569e+00,0.000000000000000000e+00
1.407212143487681422e+00,-1.138770890187548845e+00,0.000000000000000000e+00
1.068165232190677605e+00,-4.392169509077279987e-01,0.000000000000000000e+00
9.389241670022300257e-01,-5.472752839567389671e-01,0.000000000000000000e+00
1.095210290033830081e+00,-7.392587226043160209e-01,0.000000000000000000e+00
9.226367767795606856e-01,7.475230798721504977e-01,0.000000000000000000e+00
1.040060807021472966e+00,1.832750075240391796e+00,0.000000000000000000e+00
1.117142509816138496e+00,1.021059534093628596e+00,0.000000000000000000e+00
1.203448254583435739e+00,-1.485195714103358267e+00,0.000000000000000000e+00
1.008205096903920905e+00,-7.834519110552637944e-01,0.000000000000000000e+00
1.515427903460882408e+00,2.544004506694685364e-01,0.000000000000000000e+00
1.169474696523526092e+00,8.399749173892170351e-01,0.000000000000000000e+00
1.119524973289473646e+00,-2.671041682261187655e-01,0.000000000000000000e+00
7.115132028574511214e-01,-2.337852010481066944e+00,0.000000000000000000e+00
1.180246397228189359e+00,5.980596854261079898e-01,0.000000000000000000e+00
1.871292688739449428e+00,-4.007158427283469271e-01,0.000000000000000000e+00
1.474716998748520691e+00,6.948072587791946919e-01,0.000000000000000000e+00
1.562400834833013397e+00,-8.735501784104503509e-01,0.000000000000000000e+00
9.944331906195980064e-01,9.785055375826834378e-01,0.000000000000000000e+00
1.595102687532983232e+00,-1.099596184168317725e+00,0.000000000000000000e+00
8.513954761569035856e-01,-4.449309100715722054e-01,0.000000000000000000e+00
9.793725279412678342e-01,4.711992370666658880e-01,0.000000000000000000e+00
1.276244597415207460e+00,1.450067374767118576e-03,0.000000000000000000e+00
1.086550442758798196e+00,1.059869455714588932e-01,0.000000000000000000e+00
1.024900021832966468e+00,-2.993832746077355056e-01,0.000000000000000000e+00
6.800292950515798296e-01,4.747964766718487106e-01,0.000000000000000000e+00
1.174645043481115536e+00,-1.178675574934457959e+00,0.000000000000000000e+00
1.192216423604990583e+00,5.985947127321409322e-01,0.000000000000000000e+00
1.214098136857667098e+00,2.125758284811458232e+00,0.000000000000000000e+00
1.624484336341886603e+00,-2.778202581178975117e-01,0.000000000000000000e+00
1.394410968870573697e+00,-2.486346391949955381e-01,0.000000000000000000e+00
1.241259142838667895e+00,1.299555802330284893e+00,0.000000000000000000e+00
5.717083351872560559e-01,8.734132021823504122e-01,0.000000000000000000e+00
1.661143838831079522e+00,-2.659192654480224127e-01,0.000000000000000000e+00
9.663977144736983771e-01,1.124765776138808793e+00,0.000000000000000000e+00
1.340170478948654598e+00,4.333101693965575874e-01,0.000000000000000000e+00
1.353234705891430689e+00,1.518842129793524398e+00,0.000000000000000000e+00
1.551185003543403607e+00,-1.776117384304134905e+00,0.000000000000000000e+00
8.591148401951490543e-01,-1.529892008615683752e+00,0.000000000000000000e+00
1.510405457672318041e+00,-1.382350366852105106e+00,0.000000000000000000e+00
1.321427558124972368e+00,-4.254992770519175904e-01,0.000000000000000000e+00
1.672072648227102887e+00,3.641710338190080609e-01,0.000000000000000000e+00
1.449011036477791947e+00,-5.328969252524774491e-01,0.000000000000000000e+00
1.078021065658282485e+00,-2.169492442025992562e-01,0.000000000000000000e+00
1.333113807956139540e+00,-4.148435423185733439e-01,0.000000000000000000e+00
1.026980859517484079e+00,-4.891659819724729075e-01,0.000000000000000000e+00
1.149011015277067171e+00,9.394933607788278351e-01,0.000000000000000000e+00
1.268988593695167921e+00,-7.486548057083079744e-02,0.000000000000000000e+00
1.251050638195023934e+00,-4.823047552619348366e-01,0.000000000000000000e+00
1.297490530524154417e+00,-1.098823202854885439e+00,0.000000000000000000e+00
1.382063041620908539e+00,2.066476536372017503e-01,0.000000000000000000e+00
1.463000569753596602e+00,1.040464457611169680e+00,0.000000000000000000e+00
1.670302068586192235e+00,-7.515536370463041793e-01,0.000000000000000000e+00
1.417651463716900651e+00,1.710460918789225293e-01,0.000000000000000000e+00
1.155038199734184090e+00,-1.475527907493975333e+00,0.000000000000000000e+00
1.070418443555272381e+00,-1.813325596660178229e+00,0.000000000000000000e+00
1.355488285296245987e+00,2.038902564083144409e+00,0.000000000000000000e+00
1.282742463127787058e+00,1.207854986238494216e-01,0.000000000000000000e+00
1.034673341488867360e+00,1.464845078850231852e+00,0.000000000000000000e+00
1.104801077156398081e+00,-1.041668228434807331e+00,0.000000000000000000e+00
1.060246399017612307e+00,-4.196765970393372958e-01,0.000000000000000000e+00
1.007260669416011334e+00,1.547665705636133815e+00,0.000000000000000000e+00
6.942491051781187750e-01,5.452746094007091537e-01,0.000000000000000000e+00
1.224259326952488403e+00,1.842055760941909037e+00,0.000000000000000000e+00
1.228691043630179225e+00,9.222233605267503576e-01,0.000000000000000000e+00
1.074434498191472409e+00,-1.073438929345610804e+00,0.000000000000000000e+00
9.777570391442200748e-01,2.706144683638541437e+00,0.000000000000000000e+00
1.457087567808173389e+00,9.939325901708180311e-01,0.000000000000000000e+00
9.614447804113435136e-01,-3.326251802016642611e-01,0.000000000000000000e+00
1.352159710421210637e+00,1.043423814420311596e-01,0.000000000000000000e+00
1.264138482340011471e+00,-3.559253587556043263e-01,0.000000000000000000e+00
1.047523384007733815e+00,1.627802754358819437e-01,0.000000000000000000e+00
1.295412531305560444e+00,-1.152397859656048712e-01,0.000000000000000000e+00
1.014016824462255384e+00,1.505975423870356655e+00,0.000000000000000000e+00
1.236875795793315858e+00,8.940064539582943670e-01,0.000000000000000000e+00
1.050674881660486060e+00,-1.057249170985864739e-01,0.000000000000000000e+00
7.438721566985193601e-01,2.696803113601720536e+00,0.000000000000000000e+00
1.298184558674393418e+00,-3.165204806568141516e-01,0.000000000000000000e+00
1.331658384158381558e+00,-1.247169277081570327e+00,0.000000000000000000e+00
1.330977069060299778e+00,7.497454100960958545e-01,0.000000000000000000e+00
1.009421214868005956e+00,-6.446190060979208880e-01,0.000000000000000000e+00
1.013650123678167425e+00,-8.395996324669594557e-01,0.000000000000000000e+00
1.277693433881908369e+00,1.949177601767209334e+00,0.000000000000000000e+00
9.028436634768479685e-01,2.788328808453494068e-01,0.000000000000000000e+00
1.091758537449141198e+00,-1.048591298272272043e+00,0.000000000000000000e+00
1.268004015682722807e+00,-2.966739439848292692e-01,0.000000000000000000e+00
1.474609322849292026e+00,-3.548763462029897453e-01,0.000000000000000000e+00
1.305415667968078841e+00,-2.187611570052275939e-02,0.000000000000000000e+00
8.260636927388478323e-01,9.912376286072190762e-03,0.000000000000000000e+00
1.369926867917577118e+00,-1.072806294268100702e+00,0.000000000000000000e+00
1.518406075850933457e+00,-1.962508278228476399e-01,0.000000000000000000e+00
1.044475395159087716e+00,1.861170193722724853e-01,0.000000000000000000e+00
1.463533349911799730e+00,4.818407663231779603e-01,0.000000000000000000e+00
1.598725341086801421e+00,2.849009062189211128e-01,0.000000000000000000e+00
1.150373362431909685e+00,6.816619695198024020e-01,0.000000000000000000e+00
9.744216325703100035e-01,4.703960267721345456e-01,0.000000000000000000e+00
1.211021497932263546e+00,1.898772525903553443e-01,0.000000000000000000e+00
1.290012230123136039e+00,1.668695730011563461e+00,0.000000000000000000e+00
1.308850899948516888e+00,-2.153145638051581212e+00,0.000000000000000000e+00
1.218895789178525257e+00,-7.261127568997375326e-01,0.000000000000000000e+00
9.918988367323456901e-01,4.146401330403175489e-01,0.000000000000000000e+00
1.292627677859614410e+00,-5.194217409564449994e-01,0.000000000000000000e+00
1.494245063092489056e+00,5.505353002622003222e-01,0.000000000000000000e+00
